uniprotac,degree,betweenness_centrality,bridgeness
A0AUZ9,2,1.9E-06,2E-06
A0AVT1,35,7.858E-05,0.000397
A0FGR8,10,4.169E-05,1.3E-05
A0FGR9,2,0,0
A0JLT2,118,0.00033514,0.003838
A0JNW5,2,3.5E-07,2E-06
A0PJW6,2,2.2E-07,0
A0PK00,1,0,0
A1A4S6,6,5.83E-06,3E-06
A1A5B4,1,0,0
A1E959,3,1.01E-06,2E-06
A1KXE4,1,0,0
A1KZ92,1,0,0
A1L0T0,20,3.693E-05,0.006544
A1L3X0,2,8.1E-07,4.7E-05
A1X283,4,9.2E-07,0
A1XBS5,1,0,0
A1Z1Q3,2,0,0
A2A2V5,1,0,0
A2A2Y4,3,4E-08,0
A2RU30,2,0,0
A2RU54,2,7E-08,0
A2RU67,2,2.22E-06,0
A2RUG3,1,0,0
A2RUS2,4,3.92E-06,0
A2VDJ0,2,5.8E-07,0
A2VEC9,2,4.1E-07,0
A3KMH1,2,1.3E-07,1E-06
A3KN83,4,6.7E-07,0
A4D0S4,1,0,0
A4D1B5,1,0,0
A4D1E9,5,1.473E-05,6E-06
A4D1P6,4,1.2E-06,1E-06
A4D2P6,2,3E-07,1E-06
A4FU01,1,0,0
A4QPB2,2,2E-08,0
A5A3E0,1,0,0
A5D6W6,1,0,0
A5D8V6,11,2.881E-05,0.003428
A5D8V7,3,1.1E-07,0.000104
A5PKW4,8,1.594E-05,0.000221
A5PL33,3,8E-08,0
A5PLK6,1,0,0
A5PLL7,13,1.551E-05,1.6E-05
A5PLN9,4,1.197E-05,0.007085
A5YKK6,35,0.00014074,0.000386
A6BM72,1,0,0
A6H8Y1,4,6.6E-07,2E-06
A6NCE7,3,0,0
A6NCQ9,1,0,0
A6ND48,1,0,0
A6NDG6,3,2.53E-06,0
A6NDU8,1,0,0
A6NDV4,1,0,0
A6NED2,1,0,0
A6NER0,1,0,0
A6NGB9,4,1.037E-05,2E-06
A6NHR9,14,7.27E-06,4E-06
A6NHT5,1,0,0
A6NIH7,5,6.99E-06,8E-06
A6NIX2,4,2.1E-07,0
A6NJ69,1,0,0
A6NK58,1,0,0
A6NKQ9,2,8.27E-06,1.3E-05
A6NMY6,63,0.00028739,0.001123
A6PVS8,2,3.89E-06,0
A6ZKI3,2,0,0
A7E2F4,1,0,0
A7E2V4,6,3.99E-06,3.6E-05
A7E2Y1,3,1.61E-06,0
A7KAX9,24,2.606E-05,0.000446
A7MBM2,1,0,0
A8CG34,4,4.5E-07,0
A8K0R7,4,9.5E-07,0
A8K0Z3,10,4.25E-06,0.405401
A8K2U0,1,0,0
A8K4G0,1,0,0
A8K7I4,3,1.58E-06,7E-06
A8MQ03,4,1.2E-06,1E-06
A8MQ14,1,0,0
A8MQB3,1,0,0
A8MQT2,1,0,0
A8MT69,8,3.11E-06,1E-06
A8MTJ3,2,4.5E-07,2E-06
A8MTZ0,6,2.4E-07,0.089925
A8MUV8,1,0,0
A8MW92,9,9.28E-06,1.2E-05
A8MXV4,4,9.6E-06,9E-06
A8MZ97,2,0,0
A9UHW6,14,1.191E-05,1.2E-05
A9YTQ3,5,3.4E-07,0
