GO:0003008,GO:0005576,GO:0005681,GO:0005737,GO:0005829,GO:0006109,GO:0009887,GO:0016337,GO:0030099,GO:0031224,GO:0043234,GO:0044428,GO:0044459,GO:0048523,GO:1902532,degree,bridgeness
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1.99999999495049E-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,81,0.031663000583649
0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,63,0.000545000017155
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1.20000004244503E-05
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,38,0.000257999985479
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,71,0.001111999968998
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,70,0.002173000015318
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0.001678999979049
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,132,0.001542999991216
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,150,0.005423000082374
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3.0999999580672E-05
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,78,0.018759999424219
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1.20000004244503E-05
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,37,0.004449000116438
0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,16,0.000677999982145
0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,53,0.001764000044204
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,252,0.016544999554753
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,61,0.000608999980614
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0.00011600000289
